id,name,addr:block,addr:city,addr:country,addr:district,addr:full,addr:hamlet,addr:housename,addr:housenumber,addr:postcode,addr:state,addr:street,addr:subdistrict,addr:suburb,addr:unit,alt_name,amenity,barrier,beds,building,building:levels,check_date,comment,contact:email,contact:facebook,contact:instagram,contact:mobile,contact:nodal_officer_email,contact:nodal_officer_mobile,contact:phone,contact:twitter,description,designation,email,emergency,fax,fixme,full_name,healthcare,healthcare:speciality,heritage,heritage:operator,heritage:website,int_name,internet_access,landmark,landuse,mobile,name:bn,name:en,name:etymology:wikidata,name:hi,name:kn,name:ml,name:ta,name:ur,nohousenumber,note,official_name,official_name:etymology:wikidata,old_name,old_name:kn,opening_hours,operator,operator:short,operator:type,operator:wikidata,operator:wikipedia,phone,ref:nmma,research,short_name,source,start_date,toilets:wheelchair,type,ups_hospital,website,wheelchair,wikidata,wikimedia_commons,wikipedia,latitude,longitude
1438212033,SDS Tuberculosis Research Centre and Rajiv Gandhi Institute of Chest diseases,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,Sanatorium,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,medical,,,,,node,,,,,,,12.9367955,77.5907094
1440343668,Maiya Multispecialty Hospital,,,,Bengaluru Urban,"34, 10Th Main 1st Block, Jayanagar",,,,560011,Karnataka,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OpenGovernmentData,,,node,,,yes,,,,12.942614,77.5854533
1454651986,Narayana Netralaya,,,,Bengaluru Urban,"#37, Castle Street, Opp Sacred Heart Church, Ashok Nagar, B.E",,,37,560025,Karnataka,Castle Street,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ನಾರಾಯಣ ನೇತ್ರಾಲಯ,,,,,,,,,,,,,,,,,,,,OpenGovernmentData,,,node,,,,,,,12.9671401,77.6094485
1466638204,Srinivasa Nursing Home,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,node,,,,,,,12.9423039,77.6174893
1468540733,"Vasan Eye Care Hospital, Koramangala",,,,Bengaluru Urban,"No.897/C, 80 Feet Road, 6th Block, Koramangala",,,,560095,Karnataka,,Koramangala,,,,hospital,,,,,,,,,,,,,,,,,,yes,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,private,,,,,,,OpenGovernmentData,,,node,,http://www.vasaneye.in/,,,,,12.9402371,77.6253403
1469181813,Seventh Day Adventist Hospital,,Bengaluru,IN,,,Frazer Town,,,560005,,Saunders Road,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ಸೆವೆಂತ್ ಡೇ ಅಡ್ವೆನ್ಟಿಸ್ಟ್ ಆಸ್ಪತ್ರೆ,,,,,,,,,,,,,,,,,,,,,,,node,,,,,,,12.995625,77.6113272
1469314053,Srinivasa Nursing Home,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,node,,,,,,,12.9965077,77.6220456
1471128628,Pristine Health care,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,yes,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,node,,,,,,,12.9382768,77.6186753
1472969165,Amma Hospital,,Chennai,,,,,,1,600094,,"7th street, Choolaimedu high road",,,,,hospital,,,,,,,,,,,,,,,,,,yes,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,node,,,,,,,13.0626045,80.2305209
1473296715,Jayanagar Orthopaedic Centre,,,,Bengaluru Urban,"24/1-1, 14Th Main, 4Th Block East Jayanagar",,,,560041,Karnataka,,,,,,hospital,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OpenGovernmentData,,,node,,,,,,,12.9293288,77.5877091
1473921774,Shekar Hospital,,,,Bengaluru Urban,"No.81,Bulltemple Road,Near Ramakrishna Ashram",,,,560019,Karnataka,Shyamaraja Iyengar Road,,,,,hospital,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,Shekhar Hospital,,शेखर हॉस्पिटल,ಶೇಖರ್ ಹಾಸ್ಪಿಟಲ್,,,,,,,,,,,,,,,,,,,,OpenGovernmentData,,,node,,,,,,,12.9458714,77.5675192
1474055555,Right Hospitals,,,,Chennai,"1, Prof. Subramaniam Street (Behind Ega Theatre) , Kllpauk",,,,600010,Tamil Nadu,,,,,,hospital,,,,,,,,,,,,,,,,,,yes,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OpenGovernmentData,,,node,,,,,,,13.0787952,80.2405731
1474458358,Prasad Eye Hospital,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,node,,,,,,,12.9351929,77.6086817
1474472488,NIMHANS Screening block,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,Patients initally should come here to scrrened to refer to the appropriate department for their disorder,,,no,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,node,,,,,,,12.9387115,77.5937737
1474472859,NIMHANS OPD,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,node,,,,,,,12.9388056,77.5942994
1474511948,Manjunath Hospital,,,,Bengaluru Urban,"87/2, 8Th Cross,Wilson Garden",,,,560027,Karnataka,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,ಮಂಜುನಾಥ ಆಸ್ಪತ್ರೆ,,,,,,,,,,,,,,,,,,,,OpenGovernmentData,,,node,,,,,,,12.9483598,77.5940621
1474512442,Karthik Hospital,,,,,,,,,,,8th Cross,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,ಕಾರ್ತಿಕ್ ಆಸ್ಪತ್ರೆ,,,,,,,,,,,,,,,,,,,,,,,node,,,,,,,12.9484356,77.5942592
1474820321,Baptist,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,node,,,,,,,12.9970915,77.5719766
1617398469,"Sri Maruthi hospital, Sheshadripuram",,bangalore,,Bengaluru Urban,"No.67,Link Road,Sheshadripuram",,,67,560020,Karnataka,"Link Rd, Malleswaram, Jai Bheema Nagar, Seshadripuram",,,,,hospital,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,080 2344 9632,,,,OpenGovernmentData,,,node,,,,,,,12.9926441,77.5742046
1905152108,Kottakkal Arya Vaidya Sala,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,survey,,,node,,,,,,,12.9411061,77.5850591
2026076836,"Nayak Hospital, Gayathri Nagar",,,,Bengaluru Urban,"No 3367,5Th Cross, Gayathri Nagar",,,,560021,Karnataka,,,,,,hospital,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OpenGovernmentData,,,node,,,,,,,12.9993857,77.5606403
2296731456,Dr Venugopals' Sundaram Clini,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,node,,,,,,,13.076782,80.268345
2296731781,Dr Kabir's Clinic,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,node,,,,,,,13.0768734,80.2678381
2296732187,Dr Sridhars'Clinic,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,node,,,,,,,13.0764345,80.2672427
2485567524,Vepery Hospital,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,node,,,,,,,13.0921812,80.2594411
2533566686,United Medical lab,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ಯುನೈಟೆಡ್ ಮೆಡಿಕಲ್ ಲ್ಯಾಬ್,,,,,,,,,,,,,,,,,,,,,,,node,,,,,,,13.0007683,77.6132902
2554302512,Pragathi Ayurvedic Center,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,node,,,no,,,,12.9843701,77.555666
3370028968,Motherhood Hospital(Unit Of Rhea Healthcare Pvt Ltd),,,,Bengaluru Urban,"No. 324, Cmh Road Indiranagar 1st Stage Next To Vijaya Bank Building",,,,560038,Karnataka,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,ಮದರ್‌ಹುಡ್,,,,,,,,,,,,,,,,,,,,OpenGovernmentData,,,node,,,,,,,12.9784409,77.6375845
3370244392,Respiratory and womens health clinic.,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,node,,,,,,,12.9762645,77.6376528
3370279044,Rashmi Hospital,,,,,,,,,,,Indiranagar Double Road (Paramahansa Yogananda road),,,,,hospital,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,ರಶ್ಮಿ ಆಸ್ಪತ್ರೆ,,,,,,,,,,,,,,,,,,,,,,,node,,,,,,,12.9766951,77.6362278
3370453173,Netradama Eye Hospital,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,ನೇತ್ರಧಾಮ ಕಣ್ಣಿನ ಆಸ್ಪತ್ರೆ,,,,,,,,,,,,,,,,,,,,,,,node,,,,,,,12.9734836,77.6357281
3394753831,Sree Venkateshwara Speciality Hospital,,,,Bengaluru Urban,"1, 1st Cross, Gupta Layout,Lakksandra, Near Dairy Circle",,,#1,560030,Karnataka,Bannerghatta Road,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ಶ್ರೀ ವೆಂಕಟೆಶ್ವರ ಆಸ್ಪತ್ರೆ,,,,,,,,,,,,,,,,,,,,,,,node,,,,,,,12.9425246,77.6025303
3400223539,Leela Hospital and Diagnostic Center,,,,Bengaluru Urban,"# 133, Margosa Road,10Th Cross, Malleshwaram",,,,560003,Karnataka,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OpenGovernmentData,,,node,,,,,,,13.0002667,77.5694894
3400223541,Dr. Rajkumar Blood Bank,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,node,,,,,,,12.968031,77.5878222
3556103531,ALDOS Medical Service Pvt LTD,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,node,,,,,,,12.9826672,77.6381036
3710210170,Krishna Nursing Home,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,node,,,,,,,12.9474222,77.5986921
3714125744,"Shifa Hospital, Bengaluru Urban",,,,Bengaluru Urban,Queens Road,,,,,Karnataka,Queen's Road,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ಶಿಫಾ ಆಸ್ಪತ್ರೆ,,,,,,,,,,,,,private,,,,,,,OpenGovernmentData,,,node,,http://dpal.kar.nic.in/Kanunu%20padakosha%20PDF%20Files/Recognised%20Hospitals.pdf,,,,,12.9900105,77.5988107
3773028057,HCG Cancer Hospital,,Bengaluru,,Bengaluru Urban,"44-45/2, 2nd Cross Raja Rammohan Roy Extn Off Lalbagh Double Road",,,,560027,Karnataka,,,,,,hospital,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OpenGovernmentData,,,node,,https://www.hcgoncology.com/,,,,,12.9603157,77.5930493
3922280181,Health Care Global,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,node,,,,,,,12.9584755,77.5919279
3947460096,Surbhi hospital,,New Delhi,,,,,,15,201301,,Qutab Road,,,,,hospital,,,,,2026-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,node,,,,,,,28.6491348,77.2164415
4097027897,Gulecha Dental Care,,Bangalore,,Bengaluru Urban,,,,32/29,560011,,"4th Cross Road, KV Layout, Jayanagar 4th Block",,,,,hospital,,,,,,,,,,,,,,,,,,,,,,hospital,dental_oral_maxillo_facial_surgery,,,,,,,,+919481404000,,,,,,,,,,,,,,,,Dr. Preeti,,private,,,,,,,,,,node,,https://www.gulechadental.com/,,,,,12.9292418,77.5893625
4221573903,Shankara Netralaya Eye Hospital,,,,,,,,,600006,,Pycrofts Garden Road,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,node,,https://sankaranethralaya.org/,,,,,13.0642564,80.2497746
4286285517,Ameena Medical centre,,,,,,,,111(3/1),,,18th Cross Road,,,,,hospital,,,,,,,,,,,,,,,hospital,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,node,,,,,,,12.9777082,77.6323407
4322812542,Dr.Agarwal Eye & Dental Hospital,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,node,,,,,,,12.9700356,77.6362439
4349307192,Sagar Chandramma Hospitals,,,,,,,,,,,,,,,,hospital,,,,,2024-03-09,,,,,,,,,,,,,,,,,,gynaecology,,,,,,,,,,Sagar Chandramma Hospitals,,,,,,,,,,,,,,,,,,,,,,,,,,node,,,,,,,12.9485535,77.5748248
4392383890,Apollo Cradle,,,,Bengaluru Urban,"No.58, 5th Cross, 18th Main Dhanlakshmi Bank Building",,,,560095,Karnataka,,Koramangala,,,,hospital,,,,,,,,,,,,,,,,,contactus@apollocradle.com,,,,,,Maternity Services; Birthing Fertility and IVF; Woman's Health; Women Health Checks; Procedures; Cancer Evaluation; Children's Health; New Born Screening; Vaccination,,,,,,,,,,Apollo Cradle,,,,,,,,,,,,,,,,private,,,,,,,OpenGovernmentData,,,node,,https://www.apollocradle.com/,,,,,12.9368104,77.6206345
4406333893,Shiva Kumaraswamy Building,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shiva kumaraswamy building,,,,,,,,,,,,,,,,,,,,,,,,,,node,,,,,,,12.9717049,77.5493718
4445139977,Indianova Healthcare Pvt Ltd,,Bangalore,,,,,,58/1,560008,,"3rd main shridi sai baba mandir road, Cambridge layout halasuru",,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+9197390 07505,,,,,,,node,,https://indianovahealthcare.com/,,,,,12.9703581,77.63022
4445397516,Dr Solankis Eye Hospital,,Bangalore,,Bengaluru Urban,"No: 2, Sirur Park Road (Behind Natraja Theatre) Seshadripuram",,,191/1,560020,Karnataka,", 2nd cross, Link Road, Malleswaram",,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,080 2356 2211,,,,OpenGovernmentData,,,node,,,,,,,12.9951627,77.5738144
4445430292,Sri Sanjeevini Cold Laser Therapy,,bangalore,,,,,,316,560003,,"3rd Flr, Srikrupa, Nxt To Adiga Hotel, 15th Crs, Sampige Mn Rd, Malleswaram",,,,,hospital,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,080663 79862,,,,,,,node,,,,,,,13.0053923,77.5713352
4446285519,Medic Star Hospital,,bangalore,,Bengaluru Urban,"17-1, Sepings Road Cross,Arunachala Mudaliar Road, Shivajinagar,Cole's Park- Taj Hotel",,,,560001,Karnataka,"AM Road, Bharati Nagar, Shivaji Nagar",,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,080 2554 1337,,,,OpenGovernmentData,,,node,,,,,,,12.9876871,77.6093097
4446289881,Hsis Gosha Hospital,,bangalore,,,,,,,560051,,"Tasker Town, Near-KSPCB Limited, Shivaji Nagar, Sulthangunta, Shivaji Nagar",,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""080 2286 6529",,,,,,,node,,,,,,,12.9856985,77.6058578
4446300155,Santosh Hospital,,bangalore,,Bengaluru Urban,"No. 6 / 1, Promenade Road, Behind Coles Park, Near Goodwill School",,,6/1,560005,Karnataka,"Promenade Road, Near Coles Park, Frazer Town",,,,,hospital,,,,,2024-12-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ಸಂತೋಷ ಆಸ್ಪತ್ರೆ,,,,,,,,,,,,,,,,080 2536 7706,,,,OpenGovernmentData,,,node,,https://santoshhealthcare.com/,,,,,12.9959413,77.6082575
4446312027,Hospital,,bangalore,,,,,,,560001,,"St Johns Church Rd, Bharati Nagar, Shivaji Nagar",,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+9193411 44150,,,,,,,node,,https://www.mirlayeyecare.com/,,,,,12.9914123,77.6117329
4446341278,H B S Hospital,,bangalore,,,,,,,560051,,"Sultan Gunta,, Cock Burn Rd, Sulthangunta, Shivaji Nagar",,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,080 2554 1321,,,,,,,node,,,,,,,12.9891941,77.6037864
4446346449,St. Martha's Heart Centre,,Bangalore,,,,,,5,560001,,"Nrupathunga Rd, RBI Colony, Sampangi Rama Nagar",,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+9195380 43453,,,,,,,node,,locations.narayanahealth.org,,,,,12.9705436,77.5834769
4446518811,Desai Nursing Home,,Bangalore,,,,,,6/6,560001,,"Kumarakrupa Road, High Grounds, Madhava Nagar, Gandhi Nagar",,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+9180 2226 0307,,,,,,,node,,,,,,,12.9863736,77.5793154
4446664412,Fortis Hospital,,bangalore,,,,,,111,560010,,"West of Chord Road,, Opp Rajajinagar 1st Block Junction",,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ಫೋರ್ಟಿಸ್ ಆಸ್ಪತ್ರೆ,,,,,,,,,,,,,,,,080-2300-4444,,,,,,,node,,fortisbangalore.com,,,,,12.9881648,77.5548179
4446857201,Ayur jagruti,,Bengaluru,,,,,,3718,560008,,"10th Cross Rd, Doopanahalli, Indiranagar, Karnataka",,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+9196633 81398,,,,,,,node,,facebook.com,,,,,12.9667253,77.6378289
4447003711,Ayushman Ayurvedic therapy centre,,bangalore,,,,,,62,,,"Millers Rd, Cantonment Railway Quarters",,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+91 95356 68668,,,,www.justdial.com,,,node,,ayushmanayurvedic.com,,,,,12.9946163,77.6023871
